The Exorcist (film),https://en.wikipedia.org//wiki/The_Exorcist_(film)
Eyes on the Prize,https://en.wikipedia.org//wiki/Eyes_on_the_Prize
Faces of Death IV,https://en.wikipedia.org//wiki/Faces_of_Death_IV
Far Out Man,https://en.wikipedia.org//wiki/Far_Out_Man
The Final Sanction (film),https://en.wikipedia.org//wiki/The_Final_Sanction_(film)
Fire Birds,https://en.wikipedia.org//wiki/Fire_Birds
The First Power,https://en.wikipedia.org//wiki/The_First_Power
Flashback (1990 film),https://en.wikipedia.org//wiki/Flashback_(1990_film)
Flatliners,https://en.wikipedia.org//wiki/Flatliners
The Forbidden Dance,https://en.wikipedia.org//wiki/The_Forbidden_Dance
The Fourth War,https://en.wikipedia.org//wiki/The_Fourth_War
Frankenhooker,https://en.wikipedia.org//wiki/Frankenhooker
Frankenstein Unbound,https://en.wikipedia.org//wiki/Frankenstein_Unbound
The Freshman (1990 film),https://en.wikipedia.org//wiki/The_Freshman_(1990_film)
Full Fathom Five (film),https://en.wikipedia.org//wiki/Full_Fathom_Five_(film)
Funny About Love,https://en.wikipedia.org//wiki/Funny_About_Love
Getting Lucky,https://en.wikipedia.org//wiki/Getting_Lucky
Ghost (1990 film),https://en.wikipedia.org//wiki/Ghost_(1990_film)
Ghost Dad,https://en.wikipedia.org//wiki/Ghost_Dad
Ghosts Can't Do It,https://en.wikipedia.org//wiki/Ghosts_Can%27t_Do_It
Girlfriend from Hell,https://en.wikipedia.org//wiki/Girlfriend_from_Hell
The Godfather Part III,https://en.wikipedia.org//wiki/The_Godfather_Part_III
The Godfather,https://en.wikipedia.org//wiki/The_Godfather
Goodfellas,https://en.wikipedia.org//wiki/Goodfellas
Graffiti Bridge (film),https://en.wikipedia.org//wiki/Graffiti_Bridge_(film)
Green Card (film),https://en.wikipedia.org//wiki/Green_Card_(film)
Gremlins 2: The New Batch,https://en.wikipedia.org//wiki/Gremlins_2:_The_New_Batch
Gremlins,https://en.wikipedia.org//wiki/Gremlins
The Grifters (film),https://en.wikipedia.org//wiki/The_Grifters_(film)
Grim Prairie Tales,https://en.wikipedia.org//wiki/Grim_Prairie_Tales
The Guardian (1990 film),https://en.wikipedia.org//wiki/The_Guardian_(1990_film)
Guns (film),https://en.wikipedia.org//wiki/Guns_(film)
The Guyver,https://en.wikipedia.org//wiki/The_Guyver
The Handmaid's Tale (film),https://en.wikipedia.org//wiki/The_Handmaid%27s_Tale_(film)
Hard to Kill,https://en.wikipedia.org//wiki/Hard_to_Kill
Hardware (film),https://en.wikipedia.org//wiki/Hardware_(film)
Havana (film),https://en.wikipedia.org//wiki/Havana_(film)
Heart Condition (film),https://en.wikipedia.org//wiki/Heart_Condition_(film)
Henry & June,https://en.wikipedia.org//wiki/Henry_%26_June
Home Alone,https://en.wikipedia.org//wiki/Home_Alone
"Hot Cars, Cold Facts","https://en.wikipedia.org//wiki/Hot_Cars,_Cold_Facts"
The Hot Spot,https://en.wikipedia.org//wiki/The_Hot_Spot
House Party (film),https://en.wikipedia.org//wiki/House_Party_(film)
The Hunt for Red October (film),https://en.wikipedia.org//wiki/The_Hunt_for_Red_October_(film)
I Come in Peace,https://en.wikipedia.org//wiki/I_Come_in_Peace
I Love You to Death,https://en.wikipedia.org//wiki/I_Love_You_to_Death
I'm Dangerous Tonight,https://en.wikipedia.org//wiki/I%27m_Dangerous_Tonight
Industrial Symphony No. 1,https://en.wikipedia.org//wiki/Industrial_Symphony_No._1
"Initiation: Silent Night, Deadly Night 4","https://en.wikipedia.org//wiki/Initiation:_Silent_Night,_Deadly_Night_4"
Internal Affairs (film),https://en.wikipedia.org//wiki/Internal_Affairs_(film)
Iron & Silk (film),https://en.wikipedia.org//wiki/Iron_%26_Silk_(film)
It (1990 film),https://en.wikipedia.org//wiki/It_(1990_film)
Jacob's Ladder (1990 film),https://en.wikipedia.org//wiki/Jacob%27s_Ladder_(1990_film)
Jetsons: The Movie,https://en.wikipedia.org//wiki/Jetsons:_The_Movie
Joe Versus the Volcano,https://en.wikipedia.org//wiki/Joe_Versus_the_Volcano
The Kill-Off,https://en.wikipedia.org//wiki/The_Kill-Off
Killer Tomatoes Strike Back,https://en.wikipedia.org//wiki/Killer_Tomatoes_Strike_Back
Kindergarten Cop,https://en.wikipedia.org//wiki/Kindergarten_Cop
King of New York,https://en.wikipedia.org//wiki/King_of_New_York
Laser Mission,https://en.wikipedia.org//wiki/Laser_Mission
The Last of the Finest,https://en.wikipedia.org//wiki/The_Last_of_the_Finest
