Title
Avatar
Avengers: Endgame
Titanic
Star Wars: The Force Awakens
Avengers: Infinity War
Jurassic World
The Lion King
The Avengers
Furious 7
Frozen II
Avengers: Age of Ultron
Black Panther
Harry Potter and the Deathly Hallows – Part 2
Star Wars: The Last Jedi
Jurassic World: Fallen Kingdom
Frozen
Beauty and the Beast
Incredibles 2
The Fate of the Furious
Iron Man 3
Minions
Captain America: Civil War
Aquaman
The Lord of the Rings: The Return of the King
Spider-Man: Far From Home
Captain Marvel
Transformers: Dark of the Moon
Skyfall
Transformers: Age of Extinction
The Dark Knight Rises
Star Wars: The Rise of Skywalker
Joker
Toy Story 4
Toy Story 3
Pirates of the Caribbean: Dead Man's Chest
Rogue One
Rogue One
Aladdin
Pirates of the Caribbean: On Stranger Tides
Despicable Me 3
Jurassic Park
Finding Dory
Star Wars: Episode I – The Phantom Menace
Alice in Wonderland
Zootopia
The Hobbit: An Unexpected Journey
The Dark Knight
Harry Potter and the Philosopher's Stone
Harry Potter and the Deathly Hallows – Part 1
Despicable Me 2
Raaz 3: The Third Dimension
The Lion King
The Jungle Book
Jumanji: Welcome to the Jungle
Pirates of the Caribbean: At World's End
The Hobbit: The Desolation of Smaug
The Hobbit: The Battle of the Five Armies
The Lord of the Rings: The Two Towers
Harry Potter and the Order of the Phoenix
Finding Nemo
Harry Potter and the Half-Blood Prince
Shrek 2
Bohemian Rhapsody
Harry Potter and the Goblet of Fire
Spider-Man 3
The Lord of the Rings: The Fellowship of the Ring
Ice Age: Dawn of the Dinosaurs
Spectre
Harry Potter and the Chamber of Secrets
Spider-Man: Homecoming
Ice Age: Continental Drift
The Secret Life of Pets
Batman v Superman: Dawn of Justice
Star Wars: Episode III – Revenge of the Sith
The Hunger Games: Catching Fire
Guardians of the Galaxy Vol. 2
Inside Out
Venom
Thor: Ragnarok
Inception
Transformers: Revenge of the Fallen
The Twilight Saga: Breaking Dawn – Part 2
Spider-Man
Wonder Woman
Independence Day
Fantastic Beasts and Where to Find Them
Shrek the Third
Coco
Jumanji: The Next Level
Harry Potter and the Prisoner of Azkaban
Pirates of the Caribbean: Dead Men Tell No Tales
2012
Mission: Impossible – Fallout
Indiana Jones and the Kingdom of the Crystal Skull
Spider-Man 2
Fast & Furious 6
Deadpool 2
Deadpool
Guardians of the Galaxy
The Da Vinci Code
